location_see_also_uris,children,alternate_location_names,elevation,rank_at_foundation,parent,place_see_also_uris,dedication,location_category,earliest_attestation_label,earliest_attestation_max_year,english_place_name,positional_accuracy_assessment,place_references,founders,type,italian_place_name,longitude,comune,alternate_place_names,updated_at,place_category,notes,attestation_types,record_status,reign_of_earliest_attestation_label,updated_by,latitude,order,seismic_class_id,gender,earliest_attestation_min_year,historical_province,archaeological_remains,province,created_by,created_at
http://www.geonames.org/10376237/cattedrale-di-san-bartolomeo.html,,Garirat-Libara (unknown)|Lipara (unknown),41.0,Abbey,"Direct Subject of the Holy See. As of September 14, 1131, Archbishopric of Messina-Troina.",,Saint Bartholomew,representative,1088,1088,Saint Bartholomew of Lipari,generic_handheld_gps,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 54, 55, 59, 60, 63, 64 n., 65, 77-104, 189 n., 195, 216, 219",Duke Robert Guiscard (Male),monastery,San Bartolomeo di Lipari,14.957135,Lipari,,2019-10-09T03:54:21.601Z,abbey,"Located at the top of a steep set of stairs that give way to a street lined with neolithic archeological sites, the current church of San Bartolomeo is easy to access. Although nothing from the Norman period appears to remain on the exterior (though it was impossible for us to tell as we were unable to walk around the entire exterior), the back of the current church offers a view of the sea the monks would have had; the site is on a cliff with a sheer drop to the water. Inside the church is the Norman cloister. Lynn White noted in 1938 that traces of the exterior apse remained, though it seems he was not aware of the extent of the cloister’s survival (""The exterior of the apse of the cathedral of St. Bartholomew on Lipari would seem to be a fragment of the Norman church; however, I could find no reliable information on the subject."" (p. 99)). It wasn't fully uncovered until 1978, when Luigi Pastore, the church's long-serving sacristan, noticed other clues and notified the Soprintendenza of Messina, which began excavation.

Inside one gets a sense of the “recycling” that went on – fluted columns from Roman houses were freely adapted and integrated into the cloister, providing support for the double barrel-vaulted ceilings. The Roman houses, in their turn, were built over preexisting Greek structures. Apparently, the area was for long a site of religious observance; a temple to Hephaestus and an early Christian church may have preceded the monastery. Though intriguing, this reuse makes stone assessment at the site difficult, as it is hard to discern the stones' ages. Note that the first sustainability reading - the one for the column - was performed on one recycled from a Roman house.

From the cloister’s ambulatory, one can look out into the now-barren courtyard that served as the monastic community’s contemplative space. While some of the columns’ capitals may be of an earlier style, there are others that seem to be medieval (or, at least, fashioned in a medieval style). Remnants of wall painting from a later period are especially visible near the cloister’s entrance, where it is connected to the cathedral.                                                                                                                                                                                                                                                        This was an exceptionally important monastery during the Norman period. It was made a bishopric on September 14, 1131 by Antipope Anacletus II though in 1139, it was reduced to its previous status. Its abbot is referred to as ""electus"" in Sicily after September 1156, but was not consecrated bishop until late 1166.","documentary, archaeological",draft,Norman Conquest of Sicily,Joe Hayes,38.466846,Benedictines,2,Male,1088,Val Demone,unknown,Messina,Joe Hayes,2019-10-09T03:54:21.601Z
http://www.geonames.org/2523864/patti.html,,Baqt.s (unknown)|Pactes (unknown),0.0,Abbey,"Direct Subject of the Holy See. As of September 14, 1131, Archbishopric of Messina-Troina.",,Christ,associated_modern,1094,1094,Christ the Savior of Patti,unknown,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 54, 55, 59, 60, 63, 64 n., 65, 77-104, 189 n., 195, 216, 219",Count Roger I (Male),monastery,Santissimo Salvatore di Patti,14.964094,Patti,,2019-10-09T03:54:21.616Z,abbey,"This monastery was made a bishopric on September 14, 1131 by Antipope Anacletus II; in 1139, it was reduced to its previous status. Its abbot is referred to as electus in Sicily after September 1156, but was not consecrated bishop until late 1166. According to White, Latin Monasticism, traces of the exterior apse remain.",documentary,draft,Reign of Count Roger I,Joe Hayes,38.139876,Benedictines,2,Male,1094,Val Demone,unknown,Messina,Joe Hayes,2019-10-09T03:54:21.616Z
http://www.geonames.org/2525476/caccamo.html,,Caccabo (unknown)|K.k.b.sc (unknown)|Qaqabus (unknown)|Calces (unknown)|Caccabum (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,the Virgin Mary,associated_modern,1098,1098,Saint Mary of Caccamo,unknown,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 95, 100, 245, 255",Count Robert Mandaguerra (Male),monastery,Santa Maria di Caccamo,13.663505,Caccamo,,2019-10-09T03:54:21.629Z,priory,,documentary,draft,Reign of Count Roger I,Joe Hayes,37.936117,Benedictines,2,Male,1098,Val di Mazara,unknown,Palermo,Joe Hayes,2019-10-09T03:54:21.629Z
http://www.geonames.org/2525492/buccheri.html,,Baccaratum (unknown)|Broccatus (unknown)|Manzil-Bukìr (unknown)|Buccherie (unknown)|Castrum Buccherii (unknown),0.0,Priory,Saint Bartholomew of Lipari/Saint Savior of Patti,,the Holy Cross,associated_modern,1134,1134,Holy Cross of Buccheri,unknown,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 94, 96, 98, 101, 270, 274",,monastery,Santa Croce di Buccheri,14.8512177,Buccheri,,2019-10-09T03:54:21.642Z,priory,,documentary,draft,Reign of King Roger II,Joe Hayes,37.1270741,Benedictines,2,Male,1134,Val di Noto,unknown,Syracuse,Joe Hayes,2019-10-09T03:54:21.642Z
http://www.geonames.org/2522709/vizzini.html,,Bizinus (unknown)|Bizino (unknown)|Bidis (unknown)|Bizînî (unknown)|Bizinas (unknown)|Turris Bizini (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,Saint John (the Baptist?),associated_modern,1134,1134,Saint John of Vizzini,unknown,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 94, 101",,monastery,San Giovanni di Vizzini,14.753695,Vizzini,,2019-10-09T03:54:21.655Z,priory,,documentary,draft,Reign of King Roger II,Joe Hayes,37.162151,Benedictines,2,Male,1134,Val di Noto,unknown,Catania,Joe Hayes,2019-10-09T03:54:21.655Z
http://www.geonames.org/2522774/vicari.html,,Biccari (unknown)|Bikû (unknown)|Boico (unknown)|Biccarum (unknown)|Castrum Biccari (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,Saint Sophia,associated_modern,1120,1120,Saint Sophia of Vicari,unknown,"Cusa, Salvatore, ed. I diplomi greci ed arabi di Sicilia pubblicati nel testo originale. Palermo: Stabilimento tip. Lao, 1868. pp. 4|White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 88, 90l, 94, 101-102, 250, 252, 277",Robert of Milia (Male),monastery,Santa Sophia di Vicari,13.571007,Vicari,,2019-10-09T03:54:21.668Z,priory,,documentary,draft,Reign of Count Roger II,Joe Hayes,37.825702,Benedictines,2,Male,1120,Val di Mazara,unknown,Palermo,Joe Hayes,2019-10-09T03:54:21.668Z
http://www.geonames.org/2522839/tusa.html,,Tusia (unknown)|Tuz'ah (unknown)|Tosa (unknown)|Castrum Maritimae Tusae (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,the Virgin Mary,associated_modern,1123,1123,Saint Mary of Tusa,unknown,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 94, 102-103, 250, 253",,monastery,Santa Maria di Tusa,14.2360416,Tusa,Santa Maria de Palatio (unknown)|Santa Maria Palatia (unknown),2019-10-09T03:54:21.680Z,priory,"On 102 n. 8, White, Latin Monasticism, notes that Pirri, Sicilia sacra (794 and 837), suggests that this house is the same as Saint Mary ""de Palatio,"" located two miles from Tusa.",documentary,draft,Reign of Count Roger II,Joe Hayes,37.9832076,Benedictines,2,Male,1123,Val Demone,unknown,Messina,Joe Hayes,2019-10-09T03:54:21.680Z
http://www.geonames.org/2524200/mazzarino.html,,Mazaranu (unknown)|Mazareno (unknown)|Casale Mazarini (unknown)|Mazareni (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,the Virgin Mary,associated_modern,1134,1134,Saint Mary of Mazzarino,unknown,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 103-104",,monastery,Santa Maria di Mazzarino,14.213745,Mazzarino,,2019-10-09T03:54:21.692Z,priory,,documentary,draft,Reign of King Roger II,Joe Hayes,37.304803,Benedictines,3,Male,1134,Val di Noto,unknown,Caltanissetta,Joe Hayes,2019-10-09T03:54:21.692Z
http://www.geonames.org/2525480/butera.html,,Butheria (unknown)|Buthìr (unknown),0.0,Priory,Abbey of Saint Bartholomew of Lipari/Saint Savior of Patti,,the Virgin Mary,associated_modern,1125,1125,Saint Mary of Butera,unknown,"White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 88, 94, 101, 103, 251",,monastery,Santa Maria di Butera,14.1845535,Butera,,2019-10-09T03:54:21.704Z,priory,"
",documentary,draft,Reign of Count Roger II,Joe Hayes,37.1875953,Benedictines,3,Male,1125,Val di Noto,unknown,Caltanissetta,Joe Hayes,2019-10-09T03:54:21.704Z
http://www.geonames.org/2524122/mistretta.html,,Mistrecta (unknown),0.0,Abbey,,,Saint Anastasia,associated_modern,1122,1122,Saint Anastasia of Mistretta,unknown,"Cusa, Salvatore, ed. I diplomi greci ed arabi di Sicilia pubblicati nel testo originale. Palermo: Stabilimento tip. Lao, 1868. pp. 413|White, Lynn. Latin Monasticism in Norman Sicily. Cambridge, Mass. :: Mediaeval Academy of America Ann Arbor, Michigan: MPublishing, University of Michigan Library, 1938. http://hdl.handle.net/2027/heb.30929. pp. 41|Giunta, C. F. 1983. ""Il monachesimo basiliano nella Sicilia normanna."" In Basilio di Cesarea, la sua età, la sua opera e il basilianesimo in Sicilia. Messina: Centro di studi umanistici. pp. 729|Scaduto, Mario. Il monachesimo basiliano nella Sicilia medievale : rinascita e decadenza : sec. XI - XIV. Roma: Ed. di ""Storia e Letteratura,"" 1982. pp. 112",Matthew of Creun (Male),monastery,Sant'Anastasia di Mistretta,14.362704,Mistretta,,2019-10-09T03:54:21.716Z,abbey,,documentary,draft,Reign of Count Roger II,Joe Hayes,37.92746,Basilians,2,Male,1122,Val Demone,unknown,Messina,Joe Hayes,2019-10-09T03:54:21.716Z
